title,rating,similarity_perc
Lara Croft Tomb Raider: The Cradle of Life,3.1000000000000001,61.096295533356802
Mission: Impossible III,3.2999999999999998,56.081480909276799
Thelma & Louise,3.2999999999999998,55.674073501869401
Ocean's Twelve,3.3999999999999999,55.481481481481403
The Bourne Supremacy,3.8999999999999999,54.481481481481403
The Chronicles of Riddick,3.2999999999999998,54.081480909276799
Mission: Impossible III,3.2999999999999998,54.081480909276799
Armageddon,3.5,52.970370751840001
The Lost World: Jurassic Park,3.2000000000000002,52.385184994450299
Snatch.,4,52.340741122210403
